method,metric,n,minimum,mean,median,std,maximum
BLX_sigma_0.01,best,20,0.0018354078235663929,0.0378801184231716,0.037426141293537385,0.025268294530101723,0.10412536369196024
BLX_sigma_0.01,seconds,20,0.018472049999957108,0.020953819649994897,0.020138265500008856,0.003011922227729938,0.03127298999999084
BLX_sigma_0.01,evaluations,20,16128.0,16128.0,16128.0,0.0,16128.0
BLX_sigma_0.05,best,20,0.00430955612679218,0.040970293030901314,0.03465957171027784,0.027551498971125864,0.10353418728648844
BLX_sigma_0.05,seconds,20,0.017302073999985623,0.019015705700005013,0.01863665450002827,0.0014185469899311702,0.02295984900001713
BLX_sigma_0.05,evaluations,20,16128.0,16128.0,16128.0,0.0,16128.0
random,best,20,14.450555606612387,38.00705193762276,37.731675618800125,9.251712082366476,58.44262284921155
random,seconds,20,0.006382716000018718,0.006477577800004042,0.006420072499992102,0.0002576194155997779,0.007563000999994074
random,evaluations,20,16128.0,16128.0,16128.0,0.0,16128.0
