method,run,generation,best
BLX_sigma_0.01,0,42,0.2656237253579371
BLX_sigma_0.01,0,43,0.2656237253579371
BLX_sigma_0.01,0,44,0.25741456292781706
BLX_sigma_0.01,0,45,0.21801521374858812
BLX_sigma_0.01,0,46,0.21259391473987577
BLX_sigma_0.01,0,47,0.21259391473987577
BLX_sigma_0.01,0,48,0.14285467147743447
BLX_sigma_0.01,0,49,0.14285467147743447
BLX_sigma_0.01,0,50,0.14285467147743447
BLX_sigma_0.01,0,51,0.14200921321457127
BLX_sigma_0.01,0,52,0.10210736105222962
BLX_sigma_0.01,0,53,0.09692885131685125
BLX_sigma_0.01,0,54,0.08793781156562297
BLX_sigma_0.01,0,55,0.08421576418560073
BLX_sigma_0.01,0,56,0.07368047958638557
BLX_sigma_0.01,0,57,0.07368047958638557
BLX_sigma_0.01,0,58,0.07275721356310005
BLX_sigma_0.01,0,59,0.07075099040916955
BLX_sigma_0.01,0,60,0.06347683790445746
BLX_sigma_0.01,0,61,0.06347683790445746
BLX_sigma_0.01,0,62,0.062410869552274595
BLX_sigma_0.01,0,63,0.06005127258712617
BLX_sigma_0.01,0,64,0.05929173066332949
BLX_sigma_0.01,0,65,0.0567451242474315
BLX_sigma_0.01,0,66,0.055806439876769365
BLX_sigma_0.01,0,67,0.05319353855899256
BLX_sigma_0.01,0,68,0.0529615524371746
BLX_sigma_0.01,0,69,0.04966227700801906
BLX_sigma_0.01,0,70,0.04966227700801906
BLX_sigma_0.01,0,71,0.048474343536005216
BLX_sigma_0.01,0,72,0.04458406769856915
BLX_sigma_0.01,0,73,0.04320914875109616
BLX_sigma_0.01,0,74,0.042709406941363603
BLX_sigma_0.01,0,75,0.042709406941363603
BLX_sigma_0.01,0,76,0.04151702774804222
BLX_sigma_0.01,0,77,0.04151702774804222
BLX_sigma_0.01,0,78,0.04070261875213843
BLX_sigma_0.01,0,79,0.04020220549780107
BLX_sigma_0.01,0,80,0.04004435676196505
BLX_sigma_0.01,0,81,0.039812881218728946
BLX_sigma_0.01,0,82,0.039491422249367525
BLX_sigma_0.01,0,83,0.039491422249367525
BLX_sigma_0.01,0,84,0.039062954033899366
BLX_sigma_0.01,0,85,0.039062954033899366
BLX_sigma_0.01,0,86,0.03884073279972022
BLX_sigma_0.01,0,87,0.038765337816114354
BLX_sigma_0.01,0,88,0.037737000368680995
BLX_sigma_0.01,0,89,0.037737000368680995
BLX_sigma_0.01,0,90,0.037737000368680995
BLX_sigma_0.01,0,91,0.037737000368680995
BLX_sigma_0.01,0,92,0.03648088278859374
BLX_sigma_0.01,0,93,0.03648088278859374
BLX_sigma_0.01,0,94,0.03648088278859374
BLX_sigma_0.01,0,95,0.035941802849266846
BLX_sigma_0.01,0,96,0.03577741360655018
BLX_sigma_0.01,0,97,0.03577741360655018
BLX_sigma_0.01,0,98,0.03577741360655018
BLX_sigma_0.01,0,99,0.035660208388476056
BLX_sigma_0.01,0,100,0.035636268683001515
BLX_sigma_0.01,0,101,0.035636268683001515
BLX_sigma_0.01,0,102,0.035636268683001515
BLX_sigma_0.01,0,103,0.03547209128037021
BLX_sigma_0.01,0,104,0.03544629914167663
BLX_sigma_0.01,0,105,0.03544629914167663
BLX_sigma_0.01,0,106,0.03537646634900593
BLX_sigma_0.01,0,107,0.03537614148761803
BLX_sigma_0.01,0,108,0.035341446505926744
BLX_sigma_0.01,0,109,0.0353123877597008
BLX_sigma_0.01,0,110,0.03530587755606385
BLX_sigma_0.01,0,111,0.03530587755606385
BLX_sigma_0.01,0,112,0.03529865828079537
BLX_sigma_0.01,0,113,0.03526973193525962
BLX_sigma_0.01,0,114,0.035177531555346864
BLX_sigma_0.01,0,115,0.035163512601133595
BLX_sigma_0.01,0,116,0.035163512601133595
BLX_sigma_0.01,0,117,0.03513627244418893
BLX_sigma_0.01,0,118,0.035093758852161594
BLX_sigma_0.01,0,119,0.035093758852161594
BLX_sigma_0.01,0,120,0.03505274892147625
BLX_sigma_0.01,0,121,0.03505274892147625
BLX_sigma_0.01,0,122,0.03505274892147625
BLX_sigma_0.01,0,123,0.03504468852713538
BLX_sigma_0.01,0,124,0.03504468852713538
BLX_sigma_0.01,0,125,0.0350067505388475
BLX_sigma_0.01,0,126,0.03499946394641862
BLX_sigma_0.01,0,127,0.03499946394641862
BLX_sigma_0.01,0,128,0.03499946394641862
BLX_sigma_0.01,0,129,0.03499373517809967
BLX_sigma_0.01,0,130,0.03499373517809967
BLX_sigma_0.01,0,131,0.03499149046963723
BLX_sigma_0.01,0,132,0.03498731539112432
BLX_sigma_0.01,0,133,0.0349872744019587
BLX_sigma_0.01,0,134,0.03498637061952625
BLX_sigma_0.01,0,135,0.034984654914230195
BLX_sigma_0.01,0,136,0.03497288789163977
BLX_sigma_0.01,0,137,0.03497288789163977
BLX_sigma_0.01,0,138,0.034970184578937635
BLX_sigma_0.01,0,139,0.034970102384732527
BLX_sigma_0.01,0,140,0.03496181460344827
